<http://dbpedia.org/ontology/Arachnid>,arachnid
<http://dbpedia.org/ontology/Archaea>,archaea protozoa eukaryotes prokaryotes fungi protists
<http://dbpedia.org/ontology/Beverage>,other_drinks drink beer alcoholic_drink coffee beverages soft_drink soda other_beverages beverage
<http://dbpedia.org/ontology/MilitaryConflict>,military_actions armed_conflicts major_war conventional_war military_conflict foreign_intervention military_action armed_conflict direct_war proxy_war open_conflict
<http://dbpedia.org/ontology/TelevisionShow>,show current_show television_program tv_show popular_show television_series television old_show television_show other_show sitcom
<http://dbpedia.org/ontology/Crustacean>,crustacean
<http://dbpedia.org/ontology/LegalCase>,law_suit civil_lawsuit lawsuit litigation legal_case civil_suit plaintiff court_case criminal_case legal_proceedings civil_case
<http://dbpedia.org/ontology/Chancellor>,chancellor
<http://dbpedia.org/ontology/Politician>,politician other_politician other_politicians congressman president elected_official politican political_figure career_politician presidential_candidate senator
<http://dbpedia.org/ontology/BasketballPlayer>,soccer_player professional_basketball_player hockey_player basketball basketball_player football_player
<http://dbpedia.org/ontology/MountainRange>,mountains mountain_range coastline mountain_ridge shoreline western_side inland_sea eastern_side small_valley coast_line mountain_ranges
<http://dbpedia.org/ontology/TradeUnion>,labor_union union trade_union
<http://dbpedia.org/ontology/VideoGame>,computer_game video_game videogame videogames video-game
<http://dbpedia.org/ontology/MixedMartialArtsEvent>,
<http://dbpedia.org/ontology/SportsEvent>,sporting_event baseball_game sporting_events major_sporting_event sports_events sports_event football_game
<http://dbpedia.org/ontology/Spacecraft>,interplanetary_space space_station low_earth_orbit spacecraft space_craft propulsion_system launch_vehicle earth_orbit low_orbit lunar_orbit space_shuttle
<http://dbpedia.org/ontology/SoftballLeague>,softball_league
<http://dbpedia.org/ontology/PopulatedPlace>,
<http://dbpedia.org/ontology/Astronaut>,astronaut
<http://dbpedia.org/ontology/PoloLeague>,
<http://dbpedia.org/ontology/WineRegion>,
<http://dbpedia.org/ontology/Lighthouse>,light_house lighthouse observatory
<http://dbpedia.org/ontology/SoccerClub>,soccer_club
<http://dbpedia.org/ontology/SportsTeam>,sports_team sports_teams baseball_team football_team professional_sports_team favorite_sports_team sport_team soccer_team hockey_team
<http://dbpedia.org/ontology/RoadTunnel>,
<http://dbpedia.org/ontology/GreenAlga>,
<http://dbpedia.org/ontology/RouteOfTransportation>,
<http://dbpedia.org/ontology/Embryology>,embryology
<http://dbpedia.org/ontology/ComicsCharacter>,
<http://dbpedia.org/ontology/Eukaryote>,single_organism organism eukaryote eukaryotic_cells
<http://dbpedia.org/ontology/Continent>,continents whole_continent landmass continent own_continent other_continents entire_continent
<http://dbpedia.org/ontology/Scientist>,theoretical_physicist mathematician scientist researcher biologist real_scientist climate_scientist physicist biochemist astrophysicist neuroscientist
<http://dbpedia.org/ontology/HockeyTeam>,college_hockey sports_team baseball_team football_team hockey_teams minor_league_team professional_sports_team soccer_team outdoor_game hockey_team basketball_team
<http://dbpedia.org/ontology/AmericanFootballLeague>,
<http://dbpedia.org/ontology/WorldHeritageSite>,world_heritage_site
<http://dbpedia.org/ontology/FloweringPlant>,flowering_plant
<http://dbpedia.org/ontology/MilitaryUnit>,military_unit
<http://dbpedia.org/ontology/Journalist>,journo news_organization reporter journalists media_outlet news_outlet news_agency journalist columnist other_journalists blogger
<http://dbpedia.org/ontology/Convention>,conventions convention
<http://dbpedia.org/ontology/Settlement>,settlement
<http://dbpedia.org/ontology/EurovisionSongContestEntry>,
<http://dbpedia.org/ontology/GivenName>,given_name last_name middle_name first_name patronymic family_name second_name surname birthname birth_name full_first_name
<http://dbpedia.org/ontology/Architect>,architect
<http://dbpedia.org/ontology/GolfLeague>,
<http://dbpedia.org/ontology/Amphibian>,amphibian reptile insect
<http://dbpedia.org/ontology/Restaurant>,local_restaurant chain_restaurant pizza_place resteraunt restaurant restaraunt fast_food_restaurant small_restaurant burger_joint resturaunt resturant
<http://dbpedia.org/ontology/WrittenWork>,literary_work published_work written_work
<http://dbpedia.org/ontology/GolfPlayer>,
<http://dbpedia.org/ontology/GrandPrix>,grand_prix
<http://dbpedia.org/ontology/Congressman>,state_senator congressman senators congress_person elected_official legislator state_legislators congressperson state_representative congressmen senator
<http://dbpedia.org/ontology/MusicGenre>,hip-hop modern_music hip_hop music_genre
<http://dbpedia.org/ontology/ProtectedArea>,protected_area
<http://dbpedia.org/ontology/SnookerWorldRanking>,
<http://dbpedia.org/ontology/Ambassador>,ambassador diplomat
<http://dbpedia.org/ontology/PoliticalParty>,particular_party opposition_party political_party conservative_party major_political_party political_parties ruling_party governing_party political_group special_interest_group democratic_party
<http://dbpedia.org/ontology/MusicalArtist>,other_artist musical_artist
<http://dbpedia.org/ontology/AmericanFootballPlayer>,
<http://dbpedia.org/ontology/Newspaper>,news_paper local_newspaper local_paper news_papers major_newspaper newspapers newspaper
<http://dbpedia.org/ontology/SoccerManager>,
<http://dbpedia.org/ontology/SupremeCourtOfTheUnitedStatesCase>,
