superpattern 	subpattern 	confidence
1669	1340901	0.0
1321702	1097425	0.208
1275510	1354714	0.208
26151	152457	0.0010
1228891	1469559	0.15
28207	313309	0.0040
80480	2447	0.0090
1194288	1347	0.117
6610	370664	0.108
37569	2752	0.188
19534	71378	0.0
41985	541764	0.017
6607	1217173	0.056
157168	983135	0.208
459574	1495889	0.15
36513	1227950	0.0030
1353290	1542325	0.117
14385	335	0.015
725408	1622924	0.301
1325335	1437881	0.117
306870	301751	0.096
1505	90868	0.0
824337	1434812	0.071
1469548	1228809	0.208
724508	381378	0.208
750346	14736	0.15
1197755	509373	0.208
883318	335	0.208
457	161587	0.035
3412	107890	0.12
56129	58289	0.104
156973	983311	0.208
1612456	156934	0.208
1078519	277109	0.117
110419	1054203	0.047
1622957	579679	0.15
459576	641083	0.15
71392	19703	0.0010
407107	1495838	0.15
49	1399788	0.012
1122316	13033	0.011
99936	59951	0.0030
399259	859621	0.15
1058	156700	0.0010
445390	991505	0.208
156966	1612569	0.208
1288150	19535	0.096
63621	17633	0.0010
16096	51916	0.0
789923	736982	0.208
1083012	982740	0.208
459728	1494740	0.15
6603	1217211	0.056
696452	28520	0.208
943119	1498029	0.301
1255025	1189	0.15
47458	25587	0.0010
430017	16397	0.376
665872	1294360	0.15
1409809	56141	0.096
1361531	410752	0.15
35354	34289	0.02
262975	1780	0.15
901845	1139845	0.208
547088	3623	0.158
1422531	915090	0.301
1082734	791645	0.208
10759	1494	0.0070
776654	987722	0.032
119252	1279613	0.018
14104	51290	0.031
45326	8273	0.0030
174129	654965	0.15
1186	156700	0.0040
48813	15201	0.102
537534	973847	0.208
16096	892895	0.0
176610	263811	0.026
399199	859704	0.15
70528	81316	0.0010
2071	846071	0.0050
920548	1354791	0.208
859726	4290	0.15
63621	17603	0.0
1054547	1231499	0.208
267	335	0.0030
1498808	118787	0.208
183540	1175122	0.301
641123	4247	0.15
4045	153007	0.0010
396	336	0.018
71377	1053	0.0060
1499358	1422426	0.15
1336291	231830	0.208
869291	193525	0.15
1472420	1666	0.208
94846	3615	0.09
642442	1125680	0.071
105804	121724	0.022
315780	1078780	0.096
1666	68320	0.0
22680	10441	0.0010
1560345	1210924	0.188
423962	43247	0.208
225777	1527526	0.208
1505025	503	0.15
394804	59760	0.208
71933	1387901	0.0
157256	1613273	0.208
1122316	2071	0.085
18992	60429	0.212
267	395	0.0
677122	1365574	0.208
30636	823692	0.096
71352	71551	0.0
864	46327	0.0
113292	111933	0.014
1086368	682321	0.027
156457	1083150	0.208
3727	20612	0.0020
1707	97968	0.0040
512370	1182	0.208
312980	153770	0.208
774157	1548963	0.208
5962	1186	0.054
28597	115740	0.0070
12938	393265	0.0050
207700	1435	0.15
4702	1108630	0.017
407159	1217180	0.231
1260139	122255	0.208
918314	925958	0.208
21132	29538	0.0020
60767	1047833	0.0030
1130340	459761	0.208
259478	509575	0.208
1494	5257	0.0
1293978	665924	0.208
1082858	792013	0.208
394853	914064	0.208
1600259	8485	0.208
17353	32720	0.0030
736959	1197575	0.208
678856	1263364	0.117
1556090	1860	0.208
1016683	62631	0.208
28238	4820	0.0080
85685	256403	0.011
1598	7708	0.045
409497	1230816	0.117
394820	914200	0.208
4045	153032	0.0
512471	413127	0.208
8608	507056	0.063
68840	1494	0.096
75240	412587	0.047
3160	27109	0.019
4755	16859	0.0030
136521	36543	0.01
582540	4734	0.208
301788	27795	0.15
1607663	307015	0.096
1294414	666846	0.208
407138	858629	0.117
236926	1272063	0.117
1212954	914275	0.15
459604	1355067	0.15
129529	665671	0.018
122392	239161	0.083
118500	1289062	0.096
365564	1126521	0.15
232625	696095	0.208
9577	1118713	0.0
1124233	498685	0.208
1276206	1354729	0.208
920119	950110	0.208
89272	13741	0.12
400141	586862	0.208
789914	1395103	0.208
6639	571349	0.071
1217948	739956	0.208
45275	2075	0.0070
476676	58272	0.396
640893	850762	0.15
1527	207749	0.083
57140	139642	0.0010
15104	4319	0.0010
1132692	1212421	0.208
1197726	509332	0.208
16395	110507	0.0
1079124	277249	0.117
756673	1398956	0.117
1197709	790052	0.208
933629	406920	0.117
847548	642449	0.15
407170	1495857	0.15
4014	759184	0.0080
400610	587026	0.208
2132	92555	0.0
99899	1453591	0.0030
527367	1371418	0.15
30673	2132	0.0070
16395	72486	0.0010
1505	1257262	0.0
1354711	1197601	0.208
16395	14442	0.0010
664773	370999	0.208
1508286	15024	0.089
346388	412298	0.096
1527890	1470050	0.117
156493	587	0.15
59949	69886	0.0020
6899	1497250	0.0010
24	846766	0.038
1249283	4006	0.208
4536	26571	0.027
928134	1209164	0.231
1600548	8486	0.208
35056	239801	0.071
30824	1453721	0.01
1213060	527385	0.15
497095	114435	0.15
283291	32827	0.15
890426	250878	0.15
44088	288846	0.051
13479	37834	0.0
583031	918153	0.208
1214545	1371358	0.15
288364	34321	0.301
1842	1091339	0.0020
459761	1494830	0.15
33219	864	0.0020
118625	559369	0.0090
125452	636632	0.037
76773	50	0.138
859736	399275	0.208
1367567	36846	0.208
1409237	1414515	0.208
36561	38928	0.011
220760	428755	0.15
15188	174370	0.015
340565	1505	0.071
1371376	1212026	0.208
412360	346359	0.15
1395876	28662	0.137
1176	1448426	0.0010
95329	865	0.05
24915	11491	0.0080
257941	983431	0.208
1233690	1508074	0.208
1401614	219006	0.301
566587	8048	0.438
407375	212759	0.208
412275	239163	0.15
195393	193338	0.096
1082898	791879	0.208
1321676	1096052	0.208
50577	1497	0.0050
4464	69460	0.0010
1328517	1122415	0.208
112684	4046	0.115
579886	1622954	0.208
149249	31450	0.096
540263	1213069	0.188
1492786	981878	0.208
209036	34512	0.15
1650	213984	0.025
1302490	504683	0.208
4313	123	0.083
61590	130377	0.0020
1585880	98390	0.301
8692	1600242	0.083
1414562	473451	0.208
527956	19514	0.096
1049	467881	0.0050
50789	1262377	0.0020
599129	822340	0.117
508547	801975	0.071
5193	315159	0.0010
28311	1504	0.036
319235	645136	0.231
370490	48813	0.074
923549	28997	0.208
790053	918804	0.15
761980	21089	0.15
11153	1494	0.067
105738	780439	0.035
790024	422872	0.15
24512	425410	0.0
76175	335	0.034
1362350	19515	0.15
736764	789916	0.208
1519116	1122311	0.208
193385	193565	0.208
774376	1548945	0.208
399270	859613	0.208
996253	85524	0.208
1599965	102256	0.117
32700	37860	0.0
430329	1237658	0.013
823681	30615	0.208
59111	1186	0.0040
157046	1612643	0.208
1395188	400097	0.15
650945	1400787	0.208
399907	4273	0.301
177389	99363	0.208
370900	399201	0.15
438993	62209	0.208
1250242	62651	0.208
650945	1275515	0.208
59862	30318	0.071
1275497	1487332	0.208
44	46318	0.0060
814662	461126	0.231
917688	583060	0.208
96362	21304	0.083
415909	939786	0.231
156065	1082870	0.208
1612454	1022	0.15
335	1524150	0.0
1399794	680405	0.036
982695	156543	0.208
736952	789248	0.208
156472	982772	0.15
983263	257948	0.15
45	680406	0.039
247671	225348	0.208
50546	454461	0.0010
1508061	1233618	0.208
1398950	756700	0.208
1187062	584846	0.208
509856	256188	0.208
179918	23340	0.15
1173	1612507	0.0020
1535495	66868	0.208
1296955	1094347	0.301
982747	1082928	0.15
1182	37805	0.0020
97026	406921	0.012
412463	239096	0.15
4185	1395083	0.071
1376625	57141	0.15
1326	986742	0.033
2008	495417	0.0080
156905	1612355	0.15
122360	36576	0.0030
424554	34663	0.208
509571	259482	0.208
609664	1004374	0.208
14735	819131	0.0
122396	239175	0.071
1494824	459737	0.208
382120	12079	0.096
56136	1453605	0.0020
587528	400339	0.208
12229	75616	0.0
25632	1167721	0.0
1348	961241	0.0080
34768	736145	0.0080
4279	640941	0.108
328631	707759	0.208
71569	19533	0.0030
16096	12997	0.0
1442817	67759	0.208
460254	1439921	0.043
31468	914539	0.074
32531	24655	0.0010
335	54103	0.0010
642400	138789	0.0040
7601	2448	0.035
1175119	1294403	0.083
92355	862367	0.047
29890	120721	0.0080
1612454	1049	0.15
31509	1552722	0.0070
1130330	640900	0.208
1465097	292099	0.15
413174	238923	0.15
1260124	242794	0.208
56184	1615807	0.0
286708	25171	0.15
16393	334	0.01
95656	183526	0.0020
1254990	359501	0.117
814646	5706	0.231
24886	6297	0.0030
469743	1435313	0.389
229332	107712	0.208
1395171	1197749	0.15
1487367	1275793	0.208
1469735	1451736	0.208
1331736	1292165	0.208
45	802773	0.0020
59590	2462	0.0030
1491232	55709	0.089
240671	412437	0.208
1424537	104127	0.208
3492	1255774	0.083
370671	6590	0.301
242837	1260145	0.208
33719	1203524	0.045
864	20076	0.0
10581	947341	0.019
1079807	156993	0.208
23339	19497	0.0040
725278	1622943	0.301
1586952	1134978	0.208
2132	18667	0.0
1468774	104148	0.208
105229	107891	0.108
263328	5851	0.15
982750	257972	0.15
81386	38075	0.0050
62629	776629	0.0080
1543492	306496	0.208
370979	664826	0.15
863695	50147	0.023
430357	1237657	0.013
787473	1171535	0.15
85327	713686	0.047
306767	220193	0.071
409239	15208	0.186
95642	183585	0.0010
919654	263557	0.15
71551	8268	0.0060
1059875	11908	0.15
28562	695218	0.035
1197559	986184	0.208
78178	1361673	0.0010
13146	3745	0.068
94158	1842	0.12
239800	235565	0.117
1147853	67738	0.208
